,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,mean_test_accuracy,std_test_accuracy,mean_test_precision_macro,std_test_precision_macro,mean_test_recall_macro,std_test_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
14,3.6604010581970217,0.17972907963495258,2.2942052841186524,0.13230430158695752,0.95,100.0,0.1,rbf,0.986761939399522,0.0036680707306454142,0.9868567316051597,0.00355767851890453,0.9867672106267797,0.0036420369956056057,0.986776997943814,0.0036236881517506913,1
10,3.492991399765015,0.31593386015045527,2.1444115161895754,0.21361686704551391,0.95,10.0,0.1,rbf,0.9864416734947881,0.0036947900420195223,0.9865497013074226,0.003549113882088353,0.986443294093428,0.003660955701244373,0.9864571507118564,0.0036455381943088436,2
6,6.94199767112732,3.0535548933906016,5.839620065689087,3.23570119324269,0.95,1.0,0.1,rbf,0.9847995284156843,0.0042126755514109255,0.9849429588481591,0.004044968248020809,0.9848009516564554,0.004164359788317549,0.9848169921609367,0.004153062892766076,3
26,2.9700145721435547,0.22407351462891908,2.2697862148284913,0.09334642639374341,0.9,10.0,0.1,rbf,0.9830360203730606,0.004377326133382049,0.9831864496377067,0.004225191770086981,0.9830399348214838,0.0043283218873474425,0.9830483254912694,0.004319622084110819,4
30,3.0680153369903564,0.13709170037721355,1.9747913837432862,0.10892145664105879,0.9,100.0,0.1,rbf,0.9821176120077855,0.004660429972071086,0.9822754121404271,0.004472756614646381,0.9821261408365313,0.004615102203196228,0.9821406629434597,0.004595353515826587,5
